fre_len,eng_len,f_ind,e_ind,prob
12,18,1,1,0.7453408927593035
12,18,1,2,0.006071393364712518
12,18,1,3,0.0021978925620981023
12,18,1,4,0.00016062558106591686
12,18,1,5,2.0470638599742246e-8
12,18,1,6,0.00013898664957637312
12,18,1,7,4.5996175480992684e-5
12,18,1,8,0.01654180837396934
12,18,1,9,0.10796223118454291
12,18,1,10,2.9577824618200697e-5
12,18,1,11,1.370183989343093e-5
12,18,1,12,0.002126641109376233
12,18,1,13,0.0001970116147878204
12,18,1,14,8.249839616773032e-9
12,18,1,15,1.2336263772026473e-6
12,18,1,16,1.714050262994478e-5
12,18,1,17,0.016077818259201928
12,18,1,18,1.9914289622889974e-6
12,18,2,1,0.0013801003871697858
12,18,2,2,0.02758851669061345
12,18,2,3,0.41959994362805453
12,18,2,4,0.00014215830589924032
12,18,2,5,4.0451300242684775e-5
12,18,2,6,0.4624162687711697
12,18,2,7,7.115707545640265e-6
12,18,2,8,0.12398508201970546
12,18,2,9,0.00042390715364366187
12,18,2,10,6.494822968086014e-7
12,18,2,11,0.23315122500258964
12,18,2,12,0.0001411592670792187
12,18,2,13,0.0010464083793915043
12,18,2,14,0.00029478928227367286
12,18,2,15,0.22758117740284742
12,18,2,16,0.0012356255671263834
12,18,2,17,2.162967295188403e-5
12,18,2,18,0.1889500646747426
12,18,3,1,0.000502560900976088
12,18,3,2,3.379079387650174e-5
12,18,3,3,0.0004893524296570432
12,18,3,4,0.02412435133659327
12,18,3,5,3.299941065347627e-5
12,18,3,6,0.0011192994609915137
12,18,3,7,4.8478397411727e-9
12,18,3,8,5.8387361092625075e-5
12,18,3,9,7.096498534223921e-6
12,18,3,10,0.001477344383424846
12,18,3,11,0.094425481829066
12,18,3,12,0.005443782666322328
12,18,3,13,0.006647433723774061
12,18,3,14,1.828803598465605e-8
12,18,3,15,5.233515749229651e-7
12,18,3,16,5.7996253624170316e-5
12,18,3,17,0.00111406459559569
12,18,3,18,4.841864902616998e-7
12,18,4,1,3.29112031690961e-8
12,18,4,2,0.12418352575672537
12,18,4,3,0.3620148562839296
12,18,4,4,0.32990688775488264
12,18,4,5,0.0645434847989938
12,18,4,6,0.08048598579158427
12,18,4,7,1.1488139592329042e-5
12,18,4,8,0.0537239332977484
12,18,4,9,0.0009655926967903234
12,18,4,10,0.09590835386836816
12,18,4,11,0.003191880211533055
12,18,4,12,0.7951697365427994
12,18,4,13,0.00011025201516007114
12,18,4,14,0.010954045265590927
12,18,4,15,0.002532051510583455
12,18,4,16,0.06638625088260096
12,18,4,17,0.004931198537269966
12,18,4,18,0.3479392629717465
12,18,5,1,0.16940492531901585
12,18,5,2,0.002648389996227983
12,18,5,3,7.818805211252413e-6
12,18,5,4,8.196651247680093e-5
12,18,5,5,0.7031205441007295
12,18,5,6,0.005212230836634036
12,18,5,7,0.03304922495802624
12,18,5,8,0.0007854198807303865
12,18,5,9,0.0009561848310076886
12,18,5,10,0.07471680876782387
12,18,5,11,0.0074939096714126685
12,18,5,12,0.00015308531034968734
12,18,5,13,3.92522982243515e-5
12,18,5,14,0.002863977653988231
12,18,5,15,0.0012857083967880625
12,18,5,16,8.0656059419025e-5
12,18,5,17,0.05662203864393511
12,18,5,18,0.00010671777984948353
12,18,6,1,0.07268293040759513
12,18,6,2,3.268690769621782e-6
12,18,6,3,8.732366033687957e-5
12,18,6,4,0.03693952075313574
12,18,6,5,2.4739526366557164e-8
12,18,6,6,0.18800181753969544
12,18,6,7,0.007988743353080351
12,18,6,8,0.25145362405886346
12,18,6,9,0.638463205329552
12,18,6,10,6.429388930302285e-8
12,18,6,11,3.450771461462124e-6
12,18,6,12,0.08319768235106136
12,18,6,13,4.865182010459509e-5
12,18,6,14,4.8927379103586037e-14
12,18,6,15,1.1184535642294123e-14
12,18,6,16,4.593663355254537e-9
12,18,6,17,0.0003826008559661599
12,18,6,18,0.0007736490810450657
12,18,7,1,5.930541497609953e-5
12,18,7,2,8.946528137648953e-5
12,18,7,3,1.1557626824023318e-5
12,18,7,4,1.1356460953778251e-5
12,18,7,5,0.00025251358755495423
12,18,7,6,0.02190919484259289
12,18,7,7,0.6373013860364403
12,18,7,8,2.6132236070957183e-7
12,18,7,9,0.11407956786294449
12,18,7,10,0.06429196173157595
12,18,7,11,0.13884045087155714
12,18,7,12,0.00017674096123097583
12,18,7,13,0.9823147528282371
12,18,7,14,0.0002734947510236792
12,18,7,15,0.005143391540061223
12,18,7,16,0.002037560828760017
12,18,7,17,0.000533732541521517
12,18,7,18,0.0016350096695056792
12,18,8,1,2.6103510768334724e-6
12,18,8,2,6.395296056183225e-7
12,18,8,3,0.12717531551074912
12,18,8,4,0.001481952132395372
12,18,8,5,9.918012511446478e-6
12,18,8,6,0.009395012614394831
12,18,8,7,0.00016452165019699376
12,18,8,8,0.38051690154050666
12,18,8,9,0.000423755253464492
12,18,8,10,7.721807372427521e-7
12,18,8,11,0.27604535208829417
12,18,8,12,0.006579118122182218
12,18,8,13,0.004784045581264909
12,18,8,14,0.002333727387797519
12,18,8,15,0.27609464699154357
12,18,8,16,1.8888907297407607e-5
12,18,8,17,0.000941758941192484
12,18,8,18,0.0003815639295244359
12,18,9,1,5.59611949053733e-7
12,18,9,2,0.6773716634411657
12,18,9,3,6.645071197039823e-5
12,18,9,4,0.3027374557607048
12,18,9,5,4.856371931987536e-10
12,18,9,6,0.08824514761678665
12,18,9,7,4.280269931156296e-7
12,18,9,8,0.006918744659507941
12,18,9,9,0.0010139705834262983
12,18,9,10,0.21022665731597523
12,18,9,11,0.0035685618299510407
12,18,9,12,0.06338674306675693
12,18,9,13,0.001130278157001
12,18,9,14,0.00010604972969967388
