french,fertility,prob
faudrait-il,0,0.43406991977575526
faudrait-il,4,0.03318389983161186
faudrait-il,2,0.14977353200452076
faudrait-il,3,0.3079190456066591
faudrait-il,5,0.0008175338238415346
faudrait-il,1,0.07423606895761148
ont,0,0.3750082531158424
ont,4,0.000626635451924545
ont,2,0.13265876179795416
ont,3,0.014418841878065095
ont,5,8.154137072742586e-6
ont,1,0.4772793536191409
définie,0,0.06219677174827282
définie,2,0.1866430033549406
définie,3,0.011155840444206136
définie,1,0.7400043844525804
engageants,0,0.015721698302466447
engageants,4,0.0021428302882215574
engageants,2,0.6194786628363005
engageants,3,0.07353086509502554
engageants,1,0.2891259434779859
focaliserai,0,0.007398056217928426
focaliserai,4,0.0018150698567877782
focaliserai,2,0.7022554534715565
focaliserai,3,0.07407461672579603
focaliserai,1,0.2144568037279313
signalé,7,0.00021944001884685542
signalé,4,0.10182563917688252
signalé,0,0.3545963362767654
signalé,2,0.3051079906563408
signalé,3,0.06446118689049278
signalé,5,0.061892479882281234
signalé,6,0.008682225428073441
signalé,1,0.10321470167031692
quatre,0,0.17211627964186238
quatre,2,0.10065735518949646
quatre,3,0.0033954515756905897
quatre,1,0.7238309135929506
renversement,0,0.1595906031615363
renversement,2,0.10254811925812549
renversement,3,0.003463636865414631
renversement,1,0.7343976407149237
null,2,0.20468041387384628
null,16,4.791093723432259e-6
null,11,0.00022615444451020995
null,0,0.2696102451330052
null,7,0.006178727141159487
null,9,0.0011116871177568588
null,10,0.00040003145256973615
null,17,5.3125925465752396e-8
null,8,0.0024505796040362278
null,6,0.013239946159581574
null,4,0.05921467722794546
null,3,0.1170154198740124
null,5,0.027147010535261806
null,13,0.00015049594617300033
null,14,9.313448998662534e-5
null,15,5.923258015129536e-5
null,12,0.00019894705937910717
null,1,0.29821845314097595
équipe,0,0.11010310448595104
équipe,2,0.09048742355086249
équipe,3,0.002391011870258847
équipe,1,0.7970184600929276
dépenses,0,0.3787052877239507
dépenses,2,0.06909290069396612
dépenses,3,0.002188638288503784
dépenses,1,0.5500131732935795
darrangements,0,0.8864642206442093
darrangements,2,0.0030704582243105205
darrangements,1,0.11046532113148029
égales,0,0.016970345813545947
égales,4,0.0020060448212499984
égales,2,0.6053970255326437
égales,3,0.07061916900598472
égales,1,0.3050074148265755
vigilance,4,0.47823292059894856
vigilance,2,0.055382495170005215
vigilance,3,0.40446713961319714
vigilance,5,0.06023774568982669
vigilance,6,0.0016796989280223303
impatients,4,0.0627827527837274
impatients,2,0.2969596742944044
impatients,3,0.617279123575097
impatients,5,0.001475475526286569
impatients,1,0.021502973820484793
poursuivi,0,0.878511768688698
poursuivi,2,0.0037717582969139566
poursuivi,1,0.11771647301438819
ajouterez-vous,0,0.12556435285551115
ajouterez-vous,2,0.09803560613553838
ajouterez-vous,3,0.0029230756336743433
ajouterez-vous,1,0.7734769653752761
dacceptabilité,0,0.14601615949322613
dacceptabilité,2,0.1459705214738713
dacceptabilité,3,0.0071300719132340335
dacceptabilité,1,0.7008832471196687
attache,0,0.006690342987545182
attache,4,0.0025774639231201345
attache,2,0.6953343034310112
attache,3,0.08959627470869481
attache,1,0.20580161494962876
giorgos,4,0.5877067586480167
giorgos,2,0.02942436867137217
giorgos,3,0.32427665509921366
giorgos,5,0.05735112704823197
giorgos,6,0.0012410905331654608
estime,0,0.660291331808589
estime,4,0.0004544113816332139
estime,2,0.18705153042631223
estime,3,0.019256003705669787
estime,1,0.1329467226777958
propositions,0,0.27435571648457135
propositions,4,6.580951519544645e-5
propositions,2,0.1075136236103976
propositions,3,0.005479070588480152
propositions,1,0.6125857798013555
ardenne,0,0.1318108895980037
ardenne,2,0.09807663775092203
ardenne,3,0.002958543891692327
ardenne,1,0.7671539287593819
menées,0,0.44007776966834283
menées,4,0.0013708281037545151
menées,2,0.36530431959055965
menées,3,0.04652314101350631
menées,1,0.1467239416238366
déversés,4,0.5780344967833132
déversés,2,0.0308129802249459
déversés,3,0.33335737564213674
déversés,5,0.05657403774384978
déversés,6,0.0012211096057542588
vis-à-vis,0,0.44450229392666013
vis-à-vis,4,0.0074015552850344385
vis-à-vis,2,0.0887679869432142
vis-à-vis,3,0.05750530635000137
vis-à-vis,5,0.00023325508636046197
vis-à-vis,1,0.4015896024087294
saurai,0,0.4362828145259324
saurai,4,0.0012875480312129536
saurai,2,0.33092777491860165
saurai,3,0.042650493168901515
saurai,1,0.18885136935535138
linclusion,0,0.082830474697606
linclusion,2,0.09937380272638549
linclusion,3,0.002710641438814088
linclusion,1,0.8150850811371945
désengager,7,0.0011839584843251522
désengager,4,0.3412142163621837
désengager,3,0.033685287276029506
désengager,5,0.567084887661358
désengager,6,0.05683165021610368
évitons,7,0.001463511896435078
évitons,4,0.343880425555329
évitons,3,0.03479775356563094
évitons,5,0.5564863869603697
évitons,6,0.06337192202223525
protectionnisme,0,0.9013654218093079
protectionnisme,2,0.00229315441801677
protectionnisme,1,0.09634142377267524
planification,0,0.12015610043954787
planification,2,0.1052125828022286
planification,3,0.0033594862987853477
planification,1,0.7712718304594381
fonctionnons,0,0.025087568761814606
fonctionnons,4,0.0020851300545150888
fonctionnons,2,0.5585352970556149
fonctionnons,3,0.06819201073516133
fonctionnons,1,0.3460999933928941
risques,0,0.13193362960372976
risques,2,0.09842047307249727
risques,3,0.0031180070086710425
risques,1,0.7665278903151019
comprenant,0,0.0036321274710682827
comprenant,4,0.002573480050074827
comprenant,2,0.7411742229720935
comprenant,3,0.0938848066661203
comprenant,1,0.15873536284064307
plan,0,0.5345416309833696
plan,4,0.0001311828942432211
plan,2,0.09278337036024464
plan,3,0.00671330515086309
plan,1,0.36583051061127936
foyer,0,0.051029882883160176
foyer,4,0.000991784983486012
foyer,2,0.4032147282990815
foyer,3,0.04070762330360744
foyer,1,0.5040559805306649
enlevée,0,0.12751640632996988
enlevée,2,0.09778889258798495
enlevée,3,0.0028619473566695885
enlevée,1,0.7718327537253756
torts,7,0.002095057294360962
torts,4,0.4261434034633074
torts,3,0.064249014982013
torts,5,0.4394200270162032
torts,6,0.0680924972441154
valable,0,0.2725698511047411
valable,4,0.0006796063358423593
valable,2,0.1733650701120174
valable,3,0.019540684920909213
valable,1,0.5338447875264899
cost-benefit,0,0.0655159665725581
cost-benefit,2,0.11680753459973156
cost-benefit,3,0.003665606256768489
cost-benefit,1,0.8140108925709418
remercié,0,0.14380518119782332
remercié,2,0.10695548979543748
remercié,3,0.0036378184709570586
remercié,1,0.745601510535782
nincluent,0,0.8965518410086564
nincluent,2,0.0026463796722310034
nincluent,1,0.1008017793191127
quunion,4,0.5773515010994301
quunion,2,0.028064354964485422
quunion,3,0.32313811794345915
quunion,5,0.06961895050241342
quunion,6,0.0018270754902119464
ly,0,0.8339432901317274
ly,2,0.006957834331417653
ly,1,0.15909887553685503
il,0,0.485844657324507
il,4,0.000579470739240112
il,2,0.08864114440807454
il,3,0.010075271714684126
il,5,1.1577056682608945e-5
il,1,0.41484787875681167
tribunal,0,0.06290177049681539
tribunal,4,0.014509712733443852
tribunal,2,0.23421256650106778
tribunal,3,0.16008664437230707
tribunal,5,0.0003013886614570938
tribunal,1,0.5279879172349088
guterres,0,0.1255562533194891
guterres,2,0.09847436993041404
guterres,3,0.003043062676887115
guterres,1,0.7729263140732097
loctroi,0,0.145330336683187
loctroi,2,0.10476552635402343
loctroi,3,0.0035494059394262758
loctroi,1,0.7463547310233632
croirait,0,0.2969297578740289
croirait,4,0.0011382938512509524
croirait,2,0.25044961914268465
croirait,3,0.03380275658639658
croirait,1,0.4176795725456389
choisi,0,0.282159413163949
choisi,2,0.10047959050146725
choisi,3,0.004365298301126763
choisi,1,0.612995698033457
homme,0,0.5209118327299228
homme,4,0.0006010829978278032
homme,2,0.09457741418794721
homme,3,0.013105475728400953
homme,1,0.3708041943559012
écosystème,0,0.07025308975946619
écosystème,2,0.12413902737753961
écosystème,3,0.004388673221116512
écosystème,1,0.8012192096418778
destination,0,0.002109812212892187
destination,4,0.004314342432963572
destination,2,0.5348603733610161
destination,3,0.09511332842326131
destination,1,0.3636021435698668
occupent,0,0.3792635697611155
occupent,2,0.0869210148954043
occupent,3,0.00397249895938936
occupent,1,0.5298429163840909
tirent,0,0.012732667038809604
tirent,4,0.0020563121278094816
tirent,2,0.6388110748279467
tirent,3,0.07403632055548871
tirent,1,0.2723636254499454
nationaux,0,0.16582269966200908
nationaux,2,0.08880696850930395
nationaux,3,0.0025197038905546937
nationaux,1,0.7428506279381323
changement,0,0.24306775335426287
changement,4,0.00027640727675425834
changement,2,0.11078473520137666
changement,3,0.00844500085068532
changement,1,0.6374261033169208
confier,4,0.06194837530387853
confier,2,0.3071339030873995
confier,3,0.6068587419242709
confier,5,0.0014520687299210044
confier,1,0.02260691095453008
contribuent,0,0.08207431382582464
contribuent,2,0.08673429243834685
contribuent,3,0.0020074192625223752
contribuent,1,0.829183974473306
sagira,0,0.16766304993861936
sagira,2,0.1394267812348253
sagira,3,0.007067046897907094
sagira,1,0.6858431219286483
lamérique,0,0.13619760200189654
lamérique,2,0.0981558779787563
lamérique,3,0.0029695010967441533
lamérique,1,0.7626770189226031
lissue,0,0.01598964786607555
lissue,4,0.00263079760541105
lissue,2,0.6095160028593551
lissue,3,0.08095079193675629
lissue,1,0.2909127597324017
différence,0,0.3219582769318799
différence,4,0.025550626943168273
différence,7,0.0004109408031316771
différence,2,0.1087993323467336
différence,3,0.011152168010236213
différence,5,0.06014210449649222
différence,6,0.012936821869091942
différence,1,0.4590497285992664
renforcée,0,0.5270132883840537
renforcée,4,0.00032438601901211265
renforcée,2,0.11913423332613857
renforcée,3,0.01175337664173183
renforcée,1,0.34177471562906375
intérimaire,4,0.06445703432692186
intérimaire,2,0.35407671402155644
intérimaire,3,0.5459117393336206
intérimaire,5,0.0017965044584290796
intérimaire,1,0.033758007859471945
indonésie,0,0.3298406238449834
indonésie,4,0.001891330783831934
indonésie,2,0.20234152467346764
indonésie,3,0.03593707966844589
indonésie,1,0.429989441029271
électronique,0,0.41589179499563905
électronique,2,0.06935516144861394
électronique,3,0.002632923182525939
électronique,1,0.5121201203732211
central,0,0.13056272103177652
central,4,0.022396099479556734
central,2,0.14436611685339912
central,3,0.22585502709687533
central,5,0.0004947346513293667
central,1,0.47632530088706293
minutieux,4,0.06771601322325174
minutieux,2,0.3204671907433869
minutieux,3,0.5845817307810734
minutieux,5,0.0017889393676557733
minutieux,1,0.02544612588463199
conformons,0,0.004990657379866683
conformons,4,0.0017848965705938372
conformons,2,0.7321373269387867
conformons,3,0.07623438130079024
conformons,1,0.18485273780996248
formule,0,0.5982501264698199
formule,4,0.0014786685566293564
formule,2,0.21285047529324552
formule,3,0.036690081455365516
formule,1,0.15073064822493973
défis,0,0.15603785861463834
défis,4,0.00018088831436596846
défis,2,0.12945584422916936
défis,3,0.008352785122426865
défis,1,0.7059726237193995
bénéfiques,7,0.05745452176790443
bénéfiques,4,0.029080926545486538
bénéfiques,5,0.32266812538491724
bénéfiques,8,0.0011004865176919589
bénéfiques,6,0.5896959397839998
aéronautique,0,0.12177911584465576
aéronautique,2,0.115876801678211
aéronautique,3,0.00426512787090251
aéronautique,1,0.7580789546062308
dicté,0,0.09849187715505868
dicté,2,0.08750410728870568
dicté,3,0.0021704889253180877
dicté,1,0.8118335266309177
nuisance,4,0.07592018539267904
nuisance,2,0.24722841663418982
nuisance,3,0.661990205005025
nuisance,5,0.0018900822969644424
nuisance,1,0.012971110671141867
penché,0,0.06474046817804377
penché,4,0.03175664758704275
penché,2,0.21171766682730891
penché,3,0.2856457633883073
penché,5,0.0008437866478789503
penché,1,0.40529566737141814
gouvernementales,0,0.009850609886972861
gouvernementales,4,0.024350596596784714
gouvernementales,2,0.553417734196616
gouvernementales,3,0.21581060484551967
gouvernementales,5,0.0007799052774826041
gouvernementales,1,0.19579054919662411
comparaître,0,0.11238457781878133
comparaître,2,0.10886138248906103
comparaître,3,0.003603785584636556
comparaître,1,0.7751502541075211
revenons-en,0,0.44602347512072527
revenons-en,4,0.3424322491767536
revenons-en,2,0.007587823015414276
revenons-en,3,0.11775303233083428
revenons-en,5,0.03288081946078661
revenons-en,6,0.0006541449679327567
revenons-en,1,0.05266845592755328
obligée,0,0.00537918257333393
obligée,4,0.0025374856462345107
obligée,2,0.7134858466909327
obligée,3,0.09071246391532443
obligée,1,0.18788502117417455
constituera,0,0.8413502304667093
constituera,2,0.007168620219519873
constituera,1,0.15148114931377077
simposent,0,0.48344457720446515
simposent,2,0.078653580264902
simposent,3,0.003983283774077526
simposent,1,0.43391855875655544
iraniennes,4,0.6253963229401232
iraniennes,2,0.021816448337495006
iraniennes,3,0.290041548169987
iraniennes,5,0.0614275995764569
iraniennes,6,0.0013180809759378645
lespoir,0,0.2392307463491917
lespoir,4,0.022603367449112975
lespoir,2,0.2577619427187537
lespoir,3,0.12628973397262308
lespoir,5,0.001007625753823321
lespoir,1,0.35310658375649534
incognita,4,0.5917628602017792
incognita,2,0.026276368722197244
incognita,3,0.3145787736440659
incognita,5,0.06581608834361567
incognita,6,0.001565909088342105
baisse,0,0.05234597050492683
baisse,4,0.002381266727215646
baisse,2,0.4466149993169576
baisse,3,0.06296845115561432
baisse,1,0.4356893122952856
ramener,7,0.0012007112655420468
ramener,4,0.32491266422952686
ramener,3,0.02916893173709682
ramener,5,0.5861163518136643
ramener,6,0.05860134095417005
concrétisation,4,0.5655539886115318
concrétisation,2,0.02549193616103904
concrétisation,3,0.31223512489843164
concrétisation,5,0.09376203779361979
concrétisation,6,0.002956912535377741
informé,0,0.07873513161794463
informé,2,0.09094452209192085
informé,3,0.0021789522665870338
informé,1,0.8281413940235475
dassumer,0,0.07652760141916153
dassumer,2,0.09183555301502483
dassumer,3,0.0021870803200025046
dassumer,1,0.8294497652458112
permettez­moi,0,0.08569299825277393
permettez­moi,2,0.08796147824894049
permettez­moi,3,0.0021332459063645214
permettez­moi,1,0.824212277591921
souffrent,0,0.5339298606251106
souffrent,4,0.0007924668294359714
souffrent,2,0.1417306999360104
souffrent,3,0.020086448905975267
souffrent,1,0.3034605237034678
contenterai,0,0.4105567354280491
contenterai,2,0.07262374900690613
contenterai,3,0.003069160813659383
contenterai,1,0.5137503547513854
espagnol,0,0.10133615295849742
espagnol,2,0.09937273769494037
espagnol,3,0.0028409734776840513
espagnol,1,0.796450135868878
pendantes,0,0.3726964307163174
pendantes,4,0.0012959768189040274
pendantes,2,0.3393182391021965
pendantes,3,0.04279286203091316
pendantes,1,0.2438964913316689
afrique,0,0.1102138625342784
afrique,4,0.0002648252080053672
afrique,2,0.16565437572495362
afrique,3,0.011831581400865265
afrique,1,0.7120353551318973
farce,0,0.225570295305281
farce,2,0.1040156989508918
farce,3,0.00400715822444788
farce,1,0.6664068475193793
programmation,0,0.11476797576744847
programmation,2,0.09421505473038692
programmation,3,0.002684586160759061
programmation,1,0.7883323833414055
principaux,0,0.3998439943244258
principaux,4,0.006198143368856439
principaux,2,0.12339229874638591
principaux,3,0.056106297340480574
principaux,5,0.00017076477571253954
principaux,1,0.41428850144413876
naïfs,4,0.07032954574504988
naïfs,2,0.36397694628909233
naïfs,3,0.5267768571614151
naïfs,5,0.00216793177340436
naïfs,1,0.03674871903103841
