fert,max_vac,last_cept,rel_dist,prob
1,18,1,18,0.03857587334846882
1,18,1,2,0.05622014282469319
1,18,1,16,0.055803863755420444
1,18,1,11,0.06275381241031357
1,18,1,7,0.05616091186250872
1,18,1,9,0.05569164813256323
1,18,1,10,0.05455814263644277
1,18,1,17,0.05090851954790743
1,18,1,8,0.05569164813256323
1,18,1,6,0.0562207968905382
1,18,1,4,0.056220549165740145
1,18,1,3,0.056220591250073455
1,18,1,5,0.056201388714736525
1,18,1,13,0.059406882039061484
1,18,1,14,0.05626070394040303
1,18,1,15,0.05103172057553975
1,18,1,12,0.06585117061756915
1,18,1,1,0.05622163415545694
1,18,2,1,0.05636150243969899
1,18,2,2,0.054441025435588465
1,18,2,16,0.0559551143858515
1,18,2,11,0.06284715524784132
1,18,2,7,0.05630243455347663
1,18,2,9,0.05584595612911469
1,18,2,10,0.054743333510198756
1,18,2,17,0.05119314607686899
1,18,2,8,0.05584595612911469
1,18,2,6,0.056360687986446924
1,18,2,4,0.056360447011024606
1,18,2,3,0.056360487948751044
1,18,2,5,0.05634180859529795
1,18,2,13,0.05981590830580133
1,18,2,14,0.05675544927265843
1,18,2,15,0.05131299038398739
1,18,2,12,0.0657286778974996
1,18,2,18,0.03742791869077884
1,18,16,1,0.060191046261516584
1,18,16,2,0.0581242613897602
1,18,16,16,0.05475792298456149
1,18,16,11,0.07016396843533611
1,18,16,7,5.047926048445845e-7
1,18,16,9,0.059636224041242664
1,18,16,10,0.059636224041242664
1,18,16,17,0.0546289485536657
1,18,16,8,0.06012747840134981
1,18,16,6,0.06016985207924435
1,18,16,4,0.06018995448351593
1,18,16,3,0.06018948504403212
1,18,16,5,0.06018991042702724
1,18,16,13,0.07027184202966905
1,18,16,14,0.06393810665155529
1,18,16,15,0.041850727146101385
1,18,16,12,0.06495295349332995
1,18,16,18,0.0409805897442447
1,18,11,1,0.054593226689248125
1,18,11,2,0.05283758014812183
1,18,11,16,0.03660031284400526
1,18,11,11,0.057801931015240025
1,18,11,7,0.054609474173005754
1,18,11,9,0.053996276562007124
1,18,11,10,0.05399829430806575
1,18,11,17,0.05414003864293126
1,18,11,8,0.05454786491582786
1,18,11,6,0.05454622011123481
1,18,11,4,0.0545934602311489
1,18,11,3,0.054593054947959054
1,18,11,5,0.05458955837806992
1,18,11,13,0.06284258520946463
1,18,11,14,0.06764569247975864
1,18,11,15,0.05444930265291656
1,18,11,12,0.06902487682599626
1,18,11,18,0.0545902498649984
1,18,0,1,0.05374898395706381
1,18,0,2,0.05564361036104441
1,18,0,16,0.05524382167511109
1,18,0,11,0.062048223922543
1,18,0,7,0.055586725760577466
1,18,0,9,0.055136051336137075
1,18,0,10,0.05404744826612507
1,18,0,17,0.050542400507499266
1,18,0,8,0.055136051336137075
1,18,0,6,0.055644238516875236
1,18,0,4,0.05564400060539034
1,18,0,3,0.05564404102260468
1,18,0,5,0.05562559917208758
1,18,0,13,0.059054843827173124
1,18,0,14,0.05603329770434732
1,18,0,15,0.05066072102660435
1,18,0,12,0.06489311696547398
1,18,0,18,0.04966682403720521
1,18,7,1,0.05874645222252354
1,18,7,2,0.05700387021159152
1,18,7,16,0.05827877634255357
